,Comment
976,"Hello Maam Namaste<br>Main Chahta hu ki aap React Js pe Full Master Totorial banaye please maam react aap se sikhani hain to ek React pe  master class lecture to banti hain <br>         🙏 Please My Request Accept You🙏"
977,"Hello Maam Namaste<br>Main Chahta hu ki aap React Js pe Full Master Totorial banaye please maam react aap se sikhani hain to ek React pe  master class lecture to banti hain <br>         🙏 Please My Request Accept You🙏"
978,"Hello Maam Namaste<br>Main Chahta hu ki aap React Js pe Full Master Totorial banaye please maam react aap se sikhani hain to ek React pe  master class lecture to banti hain <br>         🙏 Please My Request Accept You🙏"
979,"Hello Maam Namaste<br>Main Chahta hu ki aap React Js pe Full Master Totorial banaye please maam react aap se sikhani hain to ek React pe  master class lecture to banti hain <br>         🙏 Please My Request Accept You🙏"
980,Hello Maam Namaste<br>Main Chahta hu ki aap React Js pe Full Master Totorial banaye please maam react aap se sikhani hain to ek React pe  master class lecture to banti hain <br>         🙏 Please My Request Accept You🙏
981,Apna college didi muje aap ka delta 2.0 course lena hai mene bahut muskil se aap ke course ke liye paise jama kiye h 5000 plz didi ek or offer de do me paise ki bahut tangi h 5000 bahut muskil se jama kiye h
982,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=67"">1:07</a>"
983,Di make a complete course on c# tutorial from basic to advanced all topics should be covered.
984,"good decision to make this video, GitHub is a basic requirement for all tech people now!"
985,Make video on prompt engineering full course<br>Please.
986,plzzz create course on php
987,Ma&#39;am please extend delta 2.0  offer at raksha bandhan please
988,Mera 10th ke bad gap h 12th ke bad gap h is se koi problem ayegi job me in future
989,Didi please javascript ka playlist bna do sir ne banayi h pr samjh nhi aa rha kuch aapka btaya hua bohot ache se samjh aata h please didi Java script ki course bna do aap
990,Shradha ma&#39;am JavaScript tutorial plz 😊
991,Shradha ma&#39;am JavaScript tutorial plz 😊
992,"Thank you, Di for this short and complete tutorial. I faced lots of difficulties in using Git and GitHub and no proper tutorial was found. Because of this, I lack many projects. It is a simple thing but since I can&#39;t understand the basics I faced a problem. Thank you a lot for this and please make more videos like this.<br>Take Care!"
993,Hello didi ...when can we get our Alpha 4.0 certificate
994,Ma&#39;am ~ is not the root directory it is the /home/user directory.
995,OS and Comp Network ke liye bhi pls one shot plssssssssssssssss
996,Thank you  mam for this amazing guide for git and github
997,"Thanks Di... <br>Appreciate your hardwork ,lovely content.❤."
998,snl
999,having a problem in accessing git in vs code any help??<br>i have created a file (empty one ) then accessed the file in vs code and in terminal i didnt get the git version;
