,Comment
268,"I have an Issue to run a command &quot;ls -a&quot; on vs code terminal Here&#39;s the issue message;<br><br>&quot; Get-ChildItem : Parameter cannot be processed because the<br>parameter name &#39;a&#39; is ambiguous. Possible matches include:        <br>-Attributes -Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildIte  <br>   m], ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.Power  <br>   Shell.Commands.GetChildItemCommand &quot;"
269,reset with git log not working please anyone tell me.
270,\ No newline at end of file anyone facing this problrm durin git diff
271,nice ....
272,"ls -a is not working (windows), it suggests ls -Hidden"
273,Plz c#
274,aap ka bohot bohot sukriya didi
275,Ram ram didi
276,Ma&#39;am clone nhi ho rha vs code pe
277,Mam devops k kitna tools job k liya enough hai
278,"PS C:\Users\Dell\Desktop\our work\git-demo\project-demo&gt; ls -a<br>Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible <br>matches include: -Attributes -Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem], ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShell.Commands.GetChildItemCommand  <br><br><br>ye error aa rha hai smaj nhi aa rha hai"
279,Great video Shradha.. very well explained and concise to the point
280,"great to learn all required info from one video,nice"
281,"branches are not showing on github, only showing on vs code tried twice but not available"
282,when u created git demo folder? i am not able to connect git and VS code
283,thank you  mem for your Well teaching
284,"Dii after type git push origin main command, error is generated"
285,Very helpful video. 👌👌
286,Open source distribution krne k baad hum merge command ka use nahi kr skte?<br>Ya phir pull request hi mandatory hai?
287,Thanks for tutorial Shradha khapra
288,niceeeeeeeeeeeeeeeeeeeeeeeeee
289,best lecture on github easy understanding
290,Thanks for this tutorial. Explained everything in detail 😊
291,"Can we please get notes taught by you in this video. btw, Thanks for this amazing content. Much appreciated and useful"
292,Speak in English bruh...  😒
293,"I have no words to thank you! One of the best tutorials online, Thank you once more."
294,Learned so much about git and github from this video.thank you so much maam.
295,How to pay for the course for international students? <br>It’s already started on 24 dec don’t want to miss but don’t know where to contact.
296,Thank you
297,Thx mam!
298,i was deleted the vs code terminal ----&gt; how can i get connected into the git repo
299,THANKS FOR THE VIDEO
300,mam can you please make a tutorial on freebsd porting??
301,I was roaming for Git here and there but finally I got it all. Thanks Apna College.
302,"Totally sql practical<br><br><a href=""https://www.youtube.com/@dotnetsqlmaster?sub_confirmation=1"">https://www.youtube.com/@dotnetsqlmaster?sub_confirmation=1</a>"
303,Anyone please share the drive link of the notes 🙏🙏
304,git bash is showing this problem &quot;bash: cd: too many arguments&quot; when I run the cloneing command
305,"didi I am not able to open git , actually i am stuck at <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1180"">19:40</a> Git Bash is not loading/ opening i checked in cmd it showing proper version and all but my git bash terminal is not loading or i am not able to see it on my laptop. Is it probably because of Virtual box ?? Please help asap"
306,In the windows how to show hidden file using terminal commend ??
307,"Thanks, for this course."
308,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1648"">27:28</a>  For those who are facing to see hidden files in Vs code<br>use these commands (dir -h) or ( ls -hidden)"
309,Thank you Shraddha Didi for making this tutorial on Git and GitHub
310,"thank you. Really Really impressed by your teaching style. and thank you because you start this you tube community to grow this coding , and  teach young youth coding. thank you"
311,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1934"">32:14</a>"
312,ماشاءاللہ بہت زبردست ویڈیو ہے۔ آپ سے گزارش ہے کہ آپ  Grid Layout پر بھی تفصیلی ویڈیو بنائے۔
313,☘️☘️
314,Thank you very much maam
315,please make tutorial using SSH
316,@ApnaCollegeOfficial Sharda please use only Git base if you are going to git and github not VS terminal because i am using Android Studio so i need to learn only with help of Git base.
317,kind share the git demo file
318,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=690"">11:30</a>"
319,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2376"">39:36</a>"
320,when i try to push it ask me to enter username and password
321,This is a perfect video I was searching for git.<br>Thankyou so much 😊
322,Too basic.. Not good enough to get any job. In one hour she has just completed git pull and push.
323,"For those are facing the problem command (ls -a).Open the Terminal dropdown (next to the + icon) and select Select Default Profile. This will open a list of available shells, including Git Bash. Selecting Git Bash will set it as your default shell, and all future terminals will be opened with Git Bash."
324,Please make videos for how to start learning mern stack
325,not showing .git when i use ls -a command
326,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2378"">39:38</a> Init Command"
327,Thankyou so much mam😊
328,thank you so much didi
329,Please make a tutorial video for vs code🥲
330,Make a tutorial on React js
331,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1510"">25:10</a>"
332,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1399"">23:19</a>"
333,"Very Nicely explained concepts, i am commenting after watching 3 other videos, before i found this tutorial."
334,Always Greateful to have u as a All Rounder Mentor in My Coding Journey . ..Thank YOU...❤❤!!!<br>Didi please kindly share the  🔗 link of the slides 📖 used in this tutorial apart from the shared notes provided on Apna College websites.
335,imagine how it feels when you already watch in 2x speed and the video itself turns 2x speed 😂😂🤣🤣🤣🤣🤣🤣
336,Thank you very much Shradha didi
337,I have terminal on my window.<br>Can I use that instead of git bash
338,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3606"">1:00:06</a>"
339,when i add origin it shows me error: remote origin already exists... pls anyone tells me why ?
340,"thanks for the video. One suggestion is , after git reset, you can use git restore to actually reflect back to previous version of code. specially if you deleted/modified something."
341,well explained
342,Just PERFECT !! Thanks a lot for the awesome content.
343,You can also use &quot;ls -Hidden&quot; to extract hidden files as &quot;ls -a&quot; is outdated in cmd
344,thank you didi @ApnaCollegeOfficial
345,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1212"">20:12</a> -&gt; git config"
346,"<a href=""http://www.youtube.com/results?search_query=%23stopvivekbindra"">#StopVivekBindra</a><br><a href=""http://www.youtube.com/results?search_query=%23stopscambusiness"">#StopScamBusiness</a>"
347,pls when is  the video  in another language add Hindi at least than we can skip
348,Reposotary😪
349,"Fan aur van tho hum prabhu k hai, baki padati sahi hai,"
350,Ma&#39;am you are awesome 😊
351,Thanks ma&#39;am!!
352,ls -a is giving errors in windows also % sign is not visible in windows on terminal in VS code
